hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Resort Hotel,0,25,2016,December,50,10,0,1,2,0.0,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,177.0,,0,Transient-Party,34.0,1,2,Check-Out,2016-12-11,Norma Williams,Norma_W44@xfinity.com,444-961-8261,************8548
City Hotel,1,226,2017,June,24,16,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,105.0,0,0,Canceled,2017-04-21,Tracy Oliver,Tracy_Oliver@protonmail.com,921-715-1932,************5713
City Hotel,1,183,2016,August,33,9,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient-Party,112.0,0,1,No-Show,2016-08-09,Lisa Peters,Peters.Lisa@protonmail.com,929-262-0426,************5957
City Hotel,1,90,2015,July,28,7,5,15,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,48.6,0,0,Canceled,2015-04-11,Carlos Clayton,CarlosClayton@gmail.com,682-057-0743,************3891
City Hotel,1,201,2017,May,21,24,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1,Canceled,2017-01-05,Todd Davis,Todd_Davis@xfinity.com,161-848-8872,************1620
City Hotel,1,128,2016,October,42,11,0,5,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,0,Canceled,2016-06-08,Thomas Lee,Thomas_Lee@att.com,581-948-2119,************1078
Resort Hotel,0,4,2015,October,44,31,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,330.0,,0,Transient,44.5,0,0,Check-Out,2015-11-01,Claudia Evans,Evans.Claudia@zoho.com,916-328-8280,************6442
City Hotel,0,2,2017,July,28,15,0,1,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,120.0,0,0,Check-Out,2017-07-16,Colleen Lang,Colleen_Lang43@hotmail.com,350-196-9507,************6245
City Hotel,1,37,2016,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,105.0,0,0,Canceled,2016-09-06,Deborah Roberson,Roberson_Deborah88@gmail.com,295-652-9567,************7383
Resort Hotel,0,217,2016,September,39,20,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,143.0,,0,Contract,83.0,0,3,Check-Out,2016-09-27,Beth Brown,Beth_Brown@gmail.com,131-891-6680,************5244
Resort Hotel,1,14,2016,June,24,8,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,137.67,0,0,Canceled,2016-05-26,Aaron Chavez,Aaron_Chavez@outlook.com,264-972-4349,************4272
City Hotel,0,15,2015,August,35,27,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,90.0,0,1,Check-Out,2015-08-29,Kathryn Long,Long.Kathryn84@mail.com,697-906-1493,************6328
City Hotel,0,16,2015,September,37,11,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,100.0,0,0,Check-Out,2015-09-13,Robert Garrett,Robert_Garrett74@aol.com,653-649-8178,************5519
City Hotel,1,359,2015,October,42,11,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-01-30,Rachel Cherry,Cherry_Rachel@xfinity.com,360-364-7034,************9925
Resort Hotel,0,9,2017,February,7,18,1,1,2,0.0,0,BB,PRT,Online TA,Direct,1,0,1,A,A,2,No Deposit,240.0,,0,Transient,60.0,0,2,Check-Out,2017-02-20,Leslie Rodriguez,Leslie_R@att.com,923-714-2201,************3196
Resort Hotel,0,107,2016,August,35,24,2,4,2,0.0,0,BB,,Direct,Direct,1,0,2,F,F,0,No Deposit,,,0,Transient,227.86,1,0,Check-Out,2016-08-30,Robert Cisneros,Robert.C@verizon.com,974-945-2694,************5336
Resort Hotel,0,3,2016,February,7,13,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,32.0,1,1,Check-Out,2016-02-15,Laura Warner,Laura_W@mail.com,576-870-5853,************2590
City Hotel,0,300,2017,August,31,4,1,2,3,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,83.0,,0,Transient,98.28,0,2,Check-Out,2017-08-07,Scott Underwood,SUnderwood63@verizon.com,344-141-4383,************1009
City Hotel,0,98,2017,April,15,14,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,90.1,0,0,Check-Out,2017-04-17,Michael Peterson,MPeterson@verizon.com,912-203-7919,************1468
City Hotel,1,351,2015,October,40,3,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06,Cameron Nichols,Cameron_N93@verizon.com,257-794-6036,************4991
City Hotel,0,124,2017,April,14,8,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Check-Out,2017-04-10,Kristen Brewer,KBrewer@att.com,116-671-9610,************1683
City Hotel,0,3,2016,October,45,31,1,0,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,115.5,0,1,Check-Out,2016-11-01,Ana Henderson,Henderson.Ana@outlook.com,890-823-4957,************8422
City Hotel,0,139,2016,May,21,15,2,1,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,F,1,No Deposit,9.0,,0,Transient-Party,105.3,0,0,Check-Out,2016-05-18,Jenna Wilkerson,JWilkerson@hotmail.com,958-070-3072,************3975
City Hotel,1,90,2016,May,21,21,1,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,0,Canceled,2016-03-21,Jonathan Gutierrez,Gutierrez.Jonathan@yandex.com,813-972-6901,************8087
City Hotel,1,73,2016,April,15,3,2,1,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,159.3,0,0,Canceled,2016-03-21,Veronica Casey DVM,Veronica.DVM@att.com,229-481-3896,************8140
Resort Hotel,1,109,2015,September,37,7,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Canceled,2015-06-05,Derrick Howard,Derrick.H@verizon.com,980-364-4694,************3333
City Hotel,1,311,2015,August,35,24,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02,Thomas Mcintyre,Mcintyre_Thomas76@aol.com,728-402-9936,************8878
Resort Hotel,1,299,2017,May,20,19,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,67.5,0,0,Canceled,2017-01-28,Sandra Newman,SNewman@yandex.com,733-069-9659,************8067
Resort Hotel,0,82,2017,May,19,8,1,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,58.52,0,1,Check-Out,2017-05-10,Tyler Ramirez,Tyler.Ramirez@verizon.com,634-306-8439,************3854
City Hotel,0,230,2016,September,39,18,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,119.85,0,1,Check-Out,2016-09-22,Lisa Kelly,Lisa_K81@zoho.com,111-554-2215,************3882
Resort Hotel,0,156,2016,September,39,18,2,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,98.05,0,1,Check-Out,2016-09-24,Kathryn Bolton,KBolton@protonmail.com,947-081-7957,************4618
City Hotel,0,309,2017,May,19,13,2,3,3,0.0,0,BB,MOZ,Offline TA/TO,TA/TO,0,0,0,D,D,4,No Deposit,467.0,,0,Transient-Party,124.1,0,0,Check-Out,2017-05-18,James Ruiz,Ruiz.James21@outlook.com,114-829-9379,************8403
City Hotel,1,393,2017,April,16,22,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2016-04-17,Mrs. Kathy Barnett,Mrs._B@zoho.com,469-717-0642,************1470
Resort Hotel,0,16,2015,September,38,16,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,89.0,1,1,Check-Out,2015-09-18,Kimberly Maxwell,Kimberly.M@protonmail.com,827-884-6137,************4610
City Hotel,0,132,2016,September,39,22,0,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,162.0,0,2,Check-Out,2016-09-25,Connor Davis,CDavis17@yandex.com,901-495-1545,************8947
City Hotel,1,272,2016,August,32,5,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,41,Transient,65.0,0,0,Canceled,2015-12-18,Victoria Allison,Allison_Victoria@aol.com,999-633-8727,************8110
City Hotel,0,217,2017,August,31,4,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,180.0,0,0,Check-Out,2017-08-07,Gavin Bartlett,Gavin_Bartlett@att.com,423-700-6221,************3807
City Hotel,1,147,2015,July,30,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient,75.0,0,0,Canceled,2015-07-10,Alexis Vargas,AVargas@aol.com,131-087-0443,************2670
Resort Hotel,1,124,2016,October,43,22,2,3,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,1,No Deposit,,,0,Transient-Party,65.0,0,0,Canceled,2016-09-23,Willie Kennedy,WKennedy@comcast.net,567-243-9666,************2656
Resort Hotel,1,181,2017,July,31,31,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,194.0,0,1,Canceled,2017-06-01,Joshua Lee,Lee_Joshua@outlook.com,847-409-1899,************1433
Resort Hotel,0,196,2015,August,35,26,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,1,Check-Out,2015-08-30,Jenna Martinez,Martinez_Jenna@mail.com,534-862-7930,************4131
City Hotel,0,102,2017,May,19,7,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,2,Check-Out,2017-05-10,Philip Shelton,Philip_S@yahoo.com,255-785-4719,************6312
City Hotel,1,74,2017,January,1,1,2,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,133.73,0,1,Canceled,2016-10-26,Allen Sims,Sims_Allen@comcast.net,748-501-6523,************3393
Resort Hotel,0,74,2015,November,47,16,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,0.0,0,0,Check-Out,2015-11-16,Victoria Evans,Victoria.Evans@yahoo.com,448-304-9897,************1820
City Hotel,1,76,2015,September,38,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-09-16,Chelsey Salazar,Salazar_Chelsey@zoho.com,167-088-3193,************1223
City Hotel,0,23,2017,June,22,3,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,1,Check-Out,2017-06-07,Eduardo Johnson,Eduardo_J@yandex.com,325-394-8103,************1668
City Hotel,1,197,2016,June,23,3,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,21.0,,25,Transient,80.0,0,0,Canceled,2015-12-14,Michael Adams,Michael_Adams@gmail.com,982-448-9746,************7307
Resort Hotel,0,165,2015,December,53,30,0,4,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,,122,Transient-Party,136.5,0,0,Check-Out,2016-01-03,Tracey Sanchez,Tracey.Sanchez@yandex.com,100-542-4380,************2274
Resort Hotel,0,7,2015,October,44,29,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,274.0,0,Transient,48.0,0,0,Check-Out,2015-10-30,Kristen Scott,Scott_Kristen@aol.com,703-144-7188,************3803
City Hotel,1,79,2015,November,46,13,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,60.0,,69,Transient,75.0,0,0,Canceled,2015-11-03,Victor Chavez,Victor_Chavez91@xfinity.com,572-355-0498,************6121
City Hotel,1,294,2015,August,32,7,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,60.0,0,0,Canceled,2015-07-02,Stephen Edwards,Stephen.E@protonmail.com,396-548-3360,************1051
City Hotel,1,106,2015,December,50,9,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,57,Transient,70.0,0,0,Canceled,2015-10-21,Brittany Wright,BrittanyWright@yahoo.com,221-507-7159,************4448
Resort Hotel,0,18,2016,January,5,29,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,240.0,,0,Transient-Party,0.0,0,0,Check-Out,2016-01-29,Todd Stark,ToddStark@att.com,245-691-4063,************9730
Resort Hotel,1,28,2017,August,31,3,0,2,2,0.0,0,BB,PHL,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,240.0,,0,Transient,205.0,0,1,Canceled,2017-08-01,Thomas Johnson,Thomas_J@att.com,930-124-5671,************9060
Resort Hotel,0,197,2016,June,23,1,2,8,2,0.0,0,Undefined,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,40.0,,0,Transient,114.9,0,0,Check-Out,2016-06-11,Gary Williams,GaryWilliams@aol.com,531-021-5596,************9238
City Hotel,0,30,2016,October,41,5,0,3,2,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.5,0,2,Check-Out,2016-10-08,Steven Mitchell,Mitchell.Steven@mail.com,263-191-7761,************2142
City Hotel,0,11,2016,June,23,2,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.67,0,1,Check-Out,2016-06-05,Mr. David Ellis,Mr.Ellis@yahoo.com,520-806-4063,************1798
Resort Hotel,0,54,2017,January,5,30,2,5,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,57.6,0,0,Check-Out,2017-02-06,Cheryl Arias,Arias.Cheryl@protonmail.com,571-294-3833,************6734
City Hotel,1,40,2017,March,13,29,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,158.0,0,0,Canceled,2017-03-19,Robert Franklin,Robert_F@zoho.com,629-956-5382,************7825
City Hotel,1,285,2017,August,31,1,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1,Canceled,2016-12-28,Ashley Pena,APena17@att.com,495-481-7780,************8240
City Hotel,1,205,2016,September,40,27,2,6,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.35,0,0,Canceled,2016-03-13,Miranda Caldwell,Miranda.Caldwell91@att.com,306-295-2630,************2701
City Hotel,1,60,2016,March,13,20,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,75.0,0,0,Canceled,2016-01-22,Lisa Davis,Davis.Lisa44@mail.com,899-507-4696,************8662
City Hotel,1,102,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06,Michelle Hamilton,Hamilton_Michelle@hotmail.com,541-554-6273,************2502
City Hotel,1,277,2017,January,2,13,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,59.91,0,0,Canceled,2016-08-19,Kyle Henry,Kyle.H@yandex.com,943-854-9276,************4894
City Hotel,1,295,2015,August,32,8,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06,Suzanne Lindsey,SLindsey@yahoo.com,570-975-6431,************9733
City Hotel,0,6,2016,June,26,23,0,1,1,0.0,0,BB,CHN,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,91.0,0,2,Check-Out,2016-06-24,Brenda Sanchez,BSanchez@aol.com,352-918-5383,************5130
City Hotel,1,52,2016,October,44,29,1,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Canceled,2016-10-22,Kelsey Ford,Kelsey_F87@yandex.com,609-307-4849,************4627
Resort Hotel,0,13,2015,October,42,12,1,0,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,195.0,0,Transient,53.0,0,1,Check-Out,2015-10-13,Rhonda Moore,Rhonda_M@gmail.com,952-578-7940,************9797
City Hotel,1,72,2017,March,11,17,0,1,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,9.0,,0,Transient,160.2,0,0,Canceled,2017-03-17,Matthew Gibson,MatthewGibson@hotmail.com,438-163-0486,************1763
City Hotel,0,2,2016,May,21,19,0,1,1,0.0,0,BB,SVN,Aviation,Corporate,1,0,1,D,B,0,No Deposit,,153.0,0,Transient,110.0,0,0,Check-Out,2016-05-20,Amber Gallagher,AGallagher@outlook.com,123-391-5179,************4782
Resort Hotel,0,2,2017,January,4,25,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,D,0,No Deposit,,94.0,0,Transient-Party,38.5,1,0,Check-Out,2017-01-27,Todd Rodriguez,Todd_Rodriguez28@aol.com,342-770-5875,************9536
Resort Hotel,1,82,2016,February,7,7,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,67.0,,0,Transient-Party,86.0,0,0,Canceled,2015-11-17,Justin Kane,Justin.K@att.com,892-383-6272,************6634
City Hotel,1,283,2015,July,31,27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02,Ian Durham,Ian.Durham@hotmail.com,480-290-7145,************9321
City Hotel,0,183,2017,July,29,18,0,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.78,0,3,Check-Out,2017-07-23,Amanda Hughes,AmandaHughes@aol.com,294-495-3711,************7703
Resort Hotel,0,10,2015,July,30,20,1,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,164.0,1,0,Check-Out,2015-07-25,Cesar Mitchell,CMitchell@hotmail.com,233-405-3819,************6218
City Hotel,0,110,2016,May,19,5,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient-Party,101.58,0,1,Check-Out,2016-05-09,Erin Cole,Cole_Erin@yahoo.com,714-808-9199,************1950
City Hotel,1,164,2017,August,33,14,1,3,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.5,0,0,Canceled,2017-04-03,Tanner Davis,Tanner_Davis@yahoo.com,882-338-9725,************3736
City Hotel,0,15,2016,August,32,2,0,2,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,124.0,0,1,Check-Out,2016-08-04,Gabriel Hunter,GHunter14@gmail.com,296-941-8768,************3146
Resort Hotel,0,16,2016,September,38,17,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,E,0,No Deposit,,,0,Transient,143.0,0,1,Check-Out,2016-09-18,Christy Meyer,Meyer_Christy@mail.com,223-265-8840,************1823
City Hotel,1,116,2016,June,24,11,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,3.0,,0,Transient,80.75,0,0,Canceled,2016-02-24,Elizabeth Barrett,EBarrett@xfinity.com,556-588-1908,************2290
City Hotel,1,70,2017,April,15,15,2,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.6,0,0,Canceled,2017-02-04,Lisa Mcbride,Lisa.Mcbride89@outlook.com,517-012-3611,************6007
City Hotel,1,239,2017,July,27,6,0,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,1,Canceled,2017-06-15,Morgan Lucas,Morgan_L@att.com,197-027-4456,************4364
City Hotel,0,5,2016,October,44,28,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient,200.33,1,2,Check-Out,2016-10-31,Jeffrey Riddle,Jeffrey_R@yandex.com,139-157-5856,************4120
City Hotel,0,23,2017,January,2,11,0,1,1,0.0,0,BB,ESP,Online TA,Direct,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,89.5,0,2,Check-Out,2017-01-12,Ronald Armstrong,Armstrong_Ronald32@protonmail.com,147-345-1657,************7186
City Hotel,0,0,2016,July,31,29,0,1,2,0.0,0,SC,MOZ,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,1,Check-Out,2016-07-30,Robert Munoz,Munoz.Robert@att.com,390-348-8663,************9738
City Hotel,1,20,2016,January,5,29,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,77.6,0,0,Canceled,2016-01-23,Kaitlyn Jenkins,Jenkins.Kaitlyn@aol.com,265-822-4749,************1699
City Hotel,0,99,2017,April,15,15,2,4,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,205.0,,0,Transient-Party,105.0,0,0,Check-Out,2017-04-21,Carolyn Jones,CJones28@comcast.net,158-292-7405,************9055
Resort Hotel,0,6,2016,April,17,20,0,2,1,0.0,0,BB,PRT,Corporate,TA/TO,1,0,1,A,D,0,No Deposit,,86.0,0,Transient,59.0,0,0,Check-Out,2016-04-22,Aaron Fletcher,AaronFletcher@xfinity.com,882-790-0222,************8428
City Hotel,1,137,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,45,Transient,70.0,0,0,Canceled,2015-10-27,Dr. Christopher Lang DDS,Dr..D@yandex.com,985-647-5837,************7267
Resort Hotel,0,32,2015,August,33,15,2,5,3,0.0,0,BB,FRA,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,234.29,0,1,Check-Out,2015-08-22,James Garner,JGarner@zoho.com,583-545-2406,************9482
Resort Hotel,0,14,2016,December,50,5,1,2,3,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,C,0,No Deposit,134.0,,0,Transient-Party,115.5,0,0,Check-Out,2016-12-08,John Crawford,John_C37@zoho.com,912-381-6240,************9372
City Hotel,1,246,2016,December,51,16,0,1,2,0.0,0,BB,SGP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,63.75,0,0,Canceled,2016-08-30,Jason Schneider,Jason.Schneider26@yandex.com,626-149-4395,************5148
Resort Hotel,1,54,2016,March,11,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Contract,29.0,0,0,Canceled,2016-02-23,William Curtis,Curtis_William@gmail.com,895-344-4014,************8996
City Hotel,1,16,2016,May,23,29,1,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.0,0,0,Canceled,2016-05-13,Frederick Henderson,Frederick.H71@zoho.com,792-142-3843,************9494
Resort Hotel,1,55,2017,July,27,4,2,8,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,531.0,,0,Transient,92.0,0,0,Canceled,2017-05-12,Alicia Hodges,AliciaHodges@mail.com,624-636-3725,************4684
Resort Hotel,0,87,2015,August,34,17,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,132.87,0,0,Check-Out,2015-08-24,William Pham,William_Pham@mail.com,725-882-4183,************9570
City Hotel,0,22,2017,May,21,26,0,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,230.0,0,0,Check-Out,2017-05-27,Andrea Perez,Perez_Andrea57@aol.com,240-954-1020,************6353
City Hotel,0,29,2016,April,17,18,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.0,0,1,Check-Out,2016-04-19,Steven Cook,Cook_Steven@gmail.com,125-716-2710,************6125
City Hotel,1,0,2017,May,22,31,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,229.0,0,1,No-Show,2017-05-31,Steven Larson,Steven.L45@comcast.net,660-124-3504,************3388
City Hotel,0,171,2017,July,30,26,0,3,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,9.0,,0,Transient,121.5,0,1,Check-Out,2017-07-29,Mrs. Lauren Shepherd,Shepherd.Mrs.@hotmail.com,915-864-4552,************3988
City Hotel,1,307,2015,August,34,20,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01,Melissa Ruiz,MelissaRuiz37@yahoo.com,817-793-3853,************8680
City Hotel,0,116,2017,June,25,20,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0,Check-Out,2017-06-22,Laura Sanchez,Sanchez_Laura20@gmail.com,546-804-0154,************1207
